代码,晨星专属号,名称,类型,三年评级,五年评级,今年回报率
91664656413753344, 160632, 0P00015U43, 鹏华中证酒指数（LOF）A, 行业股票 - 消费, 5, 5, -7.23
91664657281974272, 163822, 0P0000WMHT, 中银主题策略混合, 积极配置型, 5, 3, 21.76
91664658083086336, 005075, 0P0001BKQH, 富国研究量化精选混合, 积极配置型, 5, 0, 19.57
91664658804506624, 005904, 0P0001D8QC, 华泰保兴成长优选混合A, 积极配置型, 5, 0, 11.50
91664659588841472, 001869, 0P00016WTK, 招商制造业转型灵活配置混合A, 积极配置型, 5, 5, 10.14
91664660729692160, 001072, 0P00015MAC, 华安智能装备主题股票, 普通股票型, 5, 4, 22.74
91664662453551104, 163807, F0000004EQ, 中银优选混合A, 积极配置型, 5, 5, 28.57
91664663875420160, 001887, 0P00016PDG, 中欧价值智选回报混合E, 积极配置型, 5, 5, 35.52
91664665188237312, 004235, 0P00019LX7, 中欧价值智选回报混合C, 积极配置型, 5, 0, 34.74
91664666463305728, 217013, F0000004I4, 招商中小盘精选混合, 积极配置型, 5, 5, 13.38
91664667222474752, 070021, 0P0000Q6RW, 嘉实主题新动力混合, 积极配置型, 5, 3, 20.26
91664668011003904, 610002, F0000004AG, 信达澳银精华配置混合A, 积极配置型, 5, 5, 23.75
91664668996665344, 005453, 0P0001CCUF, 前海开源医疗健康灵活配置混合A, 行业混合 - 医药, 5, 0, -2.63
91664670133321728, 005454, 0P0001CCUG, 前海开源医疗健康灵活配置混合C, 行业混合 - 医药, 5, 0, -2.72
91664670871519232, 001496, 0P000167S2, 工银聚焦30股票, 普通股票型, 5, 3, 20.23
91664671777488896, 003956, 0P00019FL3, 南方现代教育股票, 行业股票 - 科技、传媒及通讯, 5, 0, 7.48
91664672528269312, 519097, 0P0000S1IW, 新华中小市值优选混合, 积极配置型, 5, 3, 11.41
91664673253883904, 570008, 0P0000VCNW, 诺德周期策略混合, 积极配置型, 5, 5, -1.24
91664691524272128, 005642, 0P0001CNFP, 鹏扬景升灵活配置混合A, 沪港深积极配置型, 5, 0, 11.30
91664692413464576, 750001, 0P0000W75L, 安信灵活配置混合, 积极配置型, 5, 4, 19.74
91664693164244992, 001043, 0P00015HXD, 工银美丽城镇主题股票A, 普通股票型, 5, 5, 11.29
91664693915025408, 000746, 0P00013VQP, 招商行业精选股票, 普通股票型, 5, 5, -7.81
91664694661611520, 004569, 0P0001AFK1, 招商制造业转型灵活配置混合C, 积极配置型, 5, 0, 9.49
91664695391420416, 001071, 0P00015WGK, 华安媒体互联网混合, 积极配置型, 5, 3, 22.24
91664696230281216, 001975, 0P000179WD, 景顺长城环保优势股票, 普通股票型, 5, 5, 11.05
91664698851721216, 519150, 0P0000W40Z, 新华优选消费混合, 积极配置型, 5, 5, 7.14
91664701607378944, 004868, 0P0001BD01, 交银施罗德股息优化混合, 积极配置型, 5, 0, -1.19
91664704002326528, 000529, 0P00011UFQ, 广发竞争优势混合A, 积极配置型, 5, 5, -2.47
91664704786661376, 001705, 0P00016VX0, 泓德战略转型股票, 普通股票型, 5, 5, 0.59
91664705575190528, 000513, 0P00013452, 富国高端制造行业股票, 普通股票型, 5, 4, 4.54
91664706334359552, 005763, 0P0001D62D, 中欧电子信息产业沪港深股票C, 沪港深股票型基金, 5, 0, 19.04
91664707131277312, 001104, 0P00015I8I, 华安新丝路主题股票A, 普通股票型, 5, 5, -3.03
91664707865280512, 001677, 0P00016YVN, 中银战略新兴产业股票A, 普通股票型, 5, 5, 25.18
91664708616060928, 240011, F0000004CZ, 华宝大盘精选混合, 积极配置型, 5, 4, -1.69
91664709366841344, 163409, 0P0000SSDU, 兴全绿色投资混合(LOF), 积极配置型, 5, 4, 20.82
91664710126010368, 005643, 0P0001CNFQ, 鹏扬景升灵活配置混合C, 沪港深积极配置型, 5, 0, 10.64
91664710880985088, 519003, F0000003VG, 海富通收益增长混合, 标准混合型, 5, 5, 17.48
91664711619182592, 001714, 0P000172IG, 工银文体产业股票A, 普通股票型, 5, 5, 3.93
91664712491597824, 320022, 0P00015MOZ, 诺安研究精选股票, 普通股票型, 5, 5, 5.58
91664713254961152, 166801, 0P0000V9U3, 浙商聚潮新思维混合, 标准混合型, 5, 4, 22.48
91664714018324480, 004616, 0P0001AIRX, 中欧电子信息产业沪港深股票A, 沪港深股票型基金, 5, 0, 19.75
91664714718773248, 005241, 0P0001CIFH, 中欧时代智慧混合A, 沪港深积极配置型, 5, 0, -3.37
91664715486330880, 005543, 0P0001CP5U, 银华心诚灵活配置混合, 沪港深积极配置型, 5, 0, 8.61
91664740824121344, 180012, F000000416, 银华富裕主题混合, 积极配置型, 5, 5, 2.52
91664741658787840, 005242, 0P0001CIFI, 中欧时代智慧混合C, 沪港深积极配置型, 5, 0, -3.93
91664742753501184, 001938, 0P00016WFU, 中欧时代先锋股票A, 普通股票型, 5, 5, 7.62
91664743684636672, 004040, 0P0001D4OB, 金鹰医疗健康产业股票A, 行业股票 - 医药, 5, 0, 15.94
91664744578023424, 450011, 0P0000VVE6, 国富研究精选混合, 积极配置型, 5, 4, 13.94
91664745395912704, 000751, 0P00013WJV, 嘉实新兴产业股票, 普通股票型, 5, 5, -6.79
91664746167664640, 001605, 0P000176Q4, 国富沪港深成长精选股票, 沪港深股票型基金, 5, 0, 4.09
91664746926833664, 005236, 0P0001BSDA, 银华食品饮料量化优选股票C, 行业股票 - 消费, 5, 0, -3.60
91664747732140032, 000634, 0P00012UGD, 富国天盛灵活配置混合, 积极配置型, 5, 5, -2.45
91664748491309056, 162203, F020162203, 泰达宏利稳定混合, 积极配置型, 5, 5, -6.99
91664751288909824, 450003, F000000425, 富兰克林国海潜力组合混合A 人民币, 积极配置型, 5, 4, 7.28
91664754313003008, 519714, 0P00016BED, 交银施罗德消费新驱动股票, 普通股票型, 5, 5, -1.10
91664755881672704, 005106, 0P0001BJV8, 银华农业产业股票, 行业股票 - 消费, 5, 0, -9.35
91664756624064512, 487016, 0P0001CP2G, 工银灵活配置混合A, 标准混合型, 5, 0, 14.15
